id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0401000.1 0.01 0 0.01 0.02 0.11 0.1 0 0.05
PF3D7_0401300.1 0.01 0 0.01 0.03 0.24 0.17 0 0
PF3D7_0401400.1 0.02 0 0.01 0.09 0.48 0 0.21 0.04
PF3D7_0401600.1 5.39 8.6 15.27 69.96 348.17 317.93 112.88 13.09
PF3D7_0401600.2 5.39 8.6 15.27 69.96 348.17 317.93 112.88 13.09
PF3D7_0401800.1 6.25 3.52 1.99 26.45 221.71 47.79 18.82 20.95
PF3D7_0401900.1 8.76 6.8 3.79 4 1.81 2.27 1.51 1.01
PF3D7_0402100.1 38.49 9.4 4.71 9.51 17.7 19.58 9.08 6.15
PF3D7_0402300.1 39.53 8.15 1.32 0.88 1.54 3.59 2.25 8.8
PF3D7_0402400.1 33.87 28 33.48 77.66 369.09 346.91 285.2 185.7
PF3D7_0402600.1 0.01 0.01 0.01 0.04 0.29 0.73 0.23 0.05
PF3D7_0402900.1 3.76 0.7 0.53 1.12 2.66 2.84 1.4 0.29
PF3D7_0403300.1 3.01 4.73 7.78 16.06 54.67 70.21 95.61 33.66
PF3D7_0404700.1 15.07 2.21 0.4 0.53 0.36 0.54 16.33 87.62
PF3D7_0404800.1 3 0.53 0.18 0.3 0.94 1.44 3.56 5.13
PF3D7_0404900.1 10.39 2.25 1.12 3.77 15.23 16.62 61 101.59
PF3D7_0405300.1 0.48 0.11 0.12 0.4 1.15 2.23 2.47 2.1
PF3D7_0405900.1 19.62 3.14 0.65 0.58 1.55 7.1 29.68 186.14
PF3D7_0406200.1 39.78 55.94 96.97 292.26 882.39 1185.97 863.77 510.15
PF3D7_0407100.1 1.12 1.23 1.75 3.17 18.66 28.58 32.17 11.94
PF3D7_0407200.1 3.76 5.31 7.01 18.87 67.29 85.23 94.87 23.82
PF3D7_0408600.1 0.63 0.15 0.03 0.04 0.41 4.35 6.33 3.65
PF3D7_0408700.1 0.04 0.03 0.02 0.06 0.51 0.93 0.88 0.77
PF3D7_0408800.1 0.01 0.02 0.01 0.07 0.11 0 0.22 0.14
PF3D7_0408900.1 0.47 0.19 0.13 0.57 22.65 91.15 112.97 32.09
PF3D7_0408900.2 0.47 0.19 0.13 0.57 22.65 91.15 112.97 32.09
PF3D7_0409000.1 0.17 0.08 0.09 0.34 2.59 3.79 8.45 4.82
PF3D7_0409500.1 0.37 0.16 0.1 0.28 1.91 34.43 61.03 28.11
PF3D7_0409700.1 1.72 0.44 0.29 2.26 22.4 41.2 52.96 29.09
PF3D7_0410700.1 12.33 2.78 0.98 2.17 18.62 66.35 165.35 125.65
PF3D7_0411200.1 0.18 0.14 0.3 3.62 29.67 41.04 34.68 7.56
PF3D7_0411700.1 0.12 0.12 0.11 0.25 1.15 0.23 0.5 0.31
PF3D7_0413200.1 0.01 0 0 0 0 0 0 0.04
PF3D7_0413300.1 0 0 0.01 0.03 0.05 0 0.07 0.04
PF3D7_0413800.1 0.14 0.07 0.06 0.4 2.97 8.63 17.79 9.03
PF3D7_0414100.1 0.11 0.04 0.06 0.8 11.97 21.67 17.28 3.75
PF3D7_0414700.1 2.81 0.52 0.29 1.69 14.27 31.55 46.96 28.99
PF3D7_0415700.1 2.01 0.34 0.06 0.29 4.3 15.75 32.57 14.41
PF3D7_0416100.1 1.31 0.57 0.65 2 13.08 34.4 65.16 31.84
PF3D7_0417000.1 0.05 0.05 0.05 0.15 0.45 1.26 0.76 0.47
PF3D7_0418800.1 0.3 0.2 0.29 0.38 0.54 1.2 0.71 0.44
PF3D7_0419200.1 2.17 1.32 2.28 5.84 29.29 62.32 134.79 94.56
PF3D7_0419400.1 0.49 0.09 0.04 0.07 0.24 0.97 14.59 24.54
PF3D7_0419700.1 9.28 1.45 0.32 0.69 1.74 3.19 17.69 82.73
PF3D7_0420200.1 0.43 0.16 0.06 0.45 2.95 8.31 7.31 2.39
PF3D7_0421200.1 0 0.01 0.01 0.02 0.05 0.09 0.13 0
PF3D7_0421900.1 0.57 0.3 0.2 0.73 2.71 0.88 0.65 1.01
PF3D7_0422000.1 0.37 0.41 2.07 10.53 45.66 69.07 62.77 24.33
PF3D7_0422100.1 0.42 1.76 4.1 14.63 64.87 111.49 147.08 58.41
PF3D7_0422800.1 1.07 0.37 0.11 0.46 3.02 11.64 26.42 15.96
PF3D7_0423300.1 20.66 3.09 0.9 1.04 2.49 5.75 31.89 156.06
PF3D7_0423400.1 9.99 1.63 0.43 0.19 1.22 0.87 12.59 71.61
PF3D7_0423700.1 19.48 11.61 6.98 26.86 266.24 607.54 1185.63 1225.31
PF3D7_0423800.1 9 1.64 0.53 0.57 2.45 11.89 15.44 18.98
PF3D7_0423900.1 23.7 8.22 4.48 7.34 17.51 16.09 10.89 11.42
PF3D7_0424000.1 1.86 0.57 1.22 45.79 233.41 152.36 37.83 6.55
PF3D7_0424100.1 23.34 3.07 0.58 1.39 6.74 5.26 2.91 13.41
PF3D7_0424200.1 28.47 4.72 0.72 0.67 2.82 5.08 2.83 5.46
PF3D7_0425100.1 11.4 8.78 10.56 12.04 6.03 2.14 0.68 1.2
PF3D7_0425200.1 3.19 1.89 1.65 2.42 1.54 0.27 0.4 0.38
PF3D7_0425500.1 0.02 0 0.01 0.19 4.08 1.55 0.46 0.19
PF3D7_0500400.1 0 0 0.01 0.06 0.05 0.08 0.31 0.04
PF3D7_0500500.1 0.01 0 0.03 0.04 0.23 0.1 0.45 0.14
PF3D7_0501200.1 0.44 1.43 7.18 69.37 580.54 543.65 338.91 47.92
PF3D7_0501500.1 7.55 1.43 0.36 0.34 0.35 0.31 18.73 131.58
PF3D7_0501600.1 17.24 2.69 0.69 0.37 0.53 0.79 28.33 212.78
PF3D7_0502400.1 8.11 8.97 12.86 23.19 20.43 14.17 8.91 3.25
PF3D7_0502500.1 0.1 0.06 0.06 0.21 0.6 1.69 1.88 0.51
PF3D7_0503100.1 0.23 0.06 0.09 1.21 12.25 33.38 51.36 18.39
PF3D7_0504200.1 1.69 0.34 0.18 1.29 21.78 48.1 50.4 20.39
PF3D7_0504500.1 0.45 0.26 0.28 0.7 1.48 2.63 3.03 5.26
PF3D7_0505400.1 0.82 0.26 0.11 0.52 9.01 22.53 61.86 49.94
PF3D7_0505700.1 2.08 4.23 5.84 20.1 75.66 139.43 219.93 62.61
PF3D7_0506400.1 1.75 0.29 0.05 0.2 0 0.81 1.39 3.22
PF3D7_0507200.1 1.35 0.24 0.23 0.74 2.24 2.33 7.34 15.2
PF3D7_0507300.1 5.26 0.65 0.12 0.17 0.44 0.81 0.62 1.41
PF3D7_0507400.1 18.88 2.59 0.4 0.31 0.46 1.64 5.44 16.11
PF3D7_0507500.1 32 6.3 1.09 0.93 2.19 2.93 3.31 20.95
