id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0424000.1 1.86 0.57 1.22 45.79 233.41 152.36 37.83 6.55
PF3D7_0424100.1 23.34 3.07 0.58 1.39 6.74 5.26 2.91 13.41
PF3D7_0424200.1 28.47 4.72 0.72 0.67 2.82 5.08 2.83 5.46
PF3D7_0425100.1 11.4 8.78 10.56 12.04 6.03 2.14 0.68 1.2
PF3D7_0425200.1 3.19 1.89 1.65 2.42 1.54 0.27 0.4 0.38
PF3D7_0425500.1 0.02 0 0.01 0.19 4.08 1.55 0.46 0.19
PF3D7_0500400.1 0 0 0.01 0.06 0.05 0.08 0.31 0.04
PF3D7_0500500.1 0.01 0 0.03 0.04 0.23 0.1 0.45 0.14
PF3D7_0501200.1 0.44 1.43 7.18 69.37 580.54 543.65 338.91 47.92
PF3D7_0501500.1 7.55 1.43 0.36 0.34 0.35 0.31 18.73 131.58
PF3D7_0501600.1 17.24 2.69 0.69 0.37 0.53 0.79 28.33 212.78
PF3D7_0502400.1 8.11 8.97 12.86 23.19 20.43 14.17 8.91 3.25
PF3D7_0507500.1 32 6.3 1.09 0.93 2.19 2.93 3.31 20.95
PF3D7_0508000.1 2.62 0.58 0.27 0.37 0.3 0.72 48.44 124.02
PF3D7_0511400.1 0.13 0.08 0.1 0.32 1.72 2.14 1.52 0.53
PF3D7_0511600.1 5.81 1.66 1.98 3.57 11.13 16.13 24.59 58.52
PF3D7_0513700.1 0.14 0.09 0.1 0.31 1.33 3.6 3.6 1.28
PF3D7_0522600.1 1.71 0.35 0.08 0.06 0.26 0.52 9.47 29.49
PF3D7_0530750.1 0.19 0.88 1.53 4.72 25.37 43.62 34.76 18.65
PF3D7_0532100.1 99.67 198.44 275.18 1206.51 7532.53 6773.99 3065.14 769.62
PF3D7_0532200.1 0.21 0.26 0.32 0.65 4.3 10.96 13.52 9.46
PF3D7_0532600.1 0.13 0.06 0.95 36.25 398.9 223.64 77.96 7.88
PF3D7_0532900.1 0.04 0.07 0.23 1.03 6.57 5.63 3.21 0.77
PF3D7_0600500.1 0.02 0.09 0.15 0.44 3.09 1.01 0.62 0.39
PF3D7_0600600.1 0.06 0.01 0.02 0.05 0.44 0.36 0.53 0.43
PF3D7_0601000.1 0.01 0.06 0.09 0.15 0.97 0.51 0.68 0.09
PF3D7_0601100.1 0.34 0.46 0.6 1.25 2.92 1.23 0.7 0.19
PF3D7_0601200.1 0.13 0.09 0.48 2.88 24.71 11.13 2.08 0.68
PF3D7_0601300.1 0.01 0.01 0.02 0.02 0.19 0.22 0.16 0.05
PF3D7_0601500.1 0.01 0.03 0.3 1.68 6.26 6.13 3.68 1.15
PF3D7_0612700.1 11.05 2.12 1.07 3.48 14.03 16.3 48.12 98.43
PF3D7_0612800.1 0.37 0.63 0.98 3.22 9.69 17.11 18.82 7.84
PF3D7_0616500.1 0.05 0.02 0.03 0.12 0.28 0.46 0.25 0.11
PF3D7_0617600.1 0.01 0.02 0.01 0.12 3.11 5.09 2 0.19
PF3D7_0617700.1 0.02 0.01 0.01 0.11 0.48 0.19 0.21 0.04
PF3D7_0620000.1 0.08 0.09 0.06 0.13 0.74 2.3 2.85 0.34
PF3D7_0620400.1 3.13 0.62 0.11 0.12 0.44 0.78 2.7 12.16
PF3D7_0621350.1 0.96 0.56 0.7 2.03 3.45 2.04 1.67 1.15
PF3D7_0624700.1 0.29 0.07 0.1 0.38 1.86 22.23 48.86 24.63
PF3D7_0629300.1 4.62 0.99 0.12 0.09 0.27 0.66 0.73 4.65
PF3D7_0631100.1 0.02 0.05 0.22 1.4 4.72 5.4 3.69 1.21
PF3D7_0631300.1 0.01 0 0.01 0 0.13 0 0 0.05
PF3D7_0631400.1 0.03 0 0.02 0.48 4.06 2.04 0.3 0.06
PF3D7_0631500.1 0.29 0.22 0.5 0.99 1.54 0.95 0.1 0.19
PF3D7_0631600.1 0.08 0.05 0.05 0.23 0.57 0.41 0.15 0.09
PF3D7_0631800.1 0.01 0 0.01 0 0.05 0.18 0 0.04
PF3D7_0631900.1 0 0.01 0.01 0.04 2.98 3.01 0.31 0.1
PF3D7_0632000.1 0 0.01 0.01 0.03 0.1 0.08 0.06 0.04
PF3D7_0632100.1 0.02 0 0.01 0.02 0.11 0.1 0 0.09
PF3D7_0632300.1 0.01 0.02 0 0.02 0.05 0.09 0 0
PF3D7_0632400.1 0.02 0.02 0.09 0.25 0.89 0.42 0.31 0.81
PF3D7_0700200.1 0 0 0 0.02 0.93 0.19 0.22 0
PF3D7_0700300.1 0 0 0 0.02 0.06 0 0.07 0
PF3D7_0700400.1 0 0.01 0.01 0.02 0 0 0 0
PF3D7_0700500.1 0 0.02 0.02 0.1 0.69 0.18 0 0.12
PF3D7_0700800.1 0.1 0.03 0.07 1.11 18.83 10.18 1.9 0.19
PF3D7_0701500.1 0 0.02 0.01 0.05 0.23 0.14 0 0.13
PF3D7_0701600.1 0.04 0.05 0.13 1.94 30.4 17.35 3.84 0.25
PF3D7_0701700.1 0 0 0.01 0 0 0 0 0.05
PF3D7_0701800.1 0.04 0.01 0.01 0.04 0.05 0.09 0.14 0
