FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL;;FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL
1;33;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;34;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;35;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;36;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;37;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;38;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;39;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;40;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;41;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;42;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;43;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;44;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;45;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;46;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;47;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;48;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;49;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;50;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;51;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;52;29;2;6;73;0.9272727273;0.830219737;0.935483871;0.8285714286;;;;;;;;;;;
1;53;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;54;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;55;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;56;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;57;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;58;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;59;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;60;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;61;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;62;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;63;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;64;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;65;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;66;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;67;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8;;;;;;;;;;;
1;68;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;69;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;70;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;71;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;72;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;73;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;74;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;75;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;76;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;77;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;78;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;79;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;80;27;1;8;74;0.9181818182;0.8105923125;0.9642857143;0.7714285714;;;;;;;;;;;
1;81;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;82;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;83;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;84;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;85;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;86;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;87;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;88;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;89;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
