id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0511100.1 0.07 0.05 0.3 1.47 2.66 4.73 8.33 5.68
PF3D7_0513000.1 0.37 0.26 0.59 2.68 18.61 46.56 51.17 15.58
PF3D7_0513500.1 0.5 1.35 3.29 16.04 58.67 76.36 49.31 12.19
PF3D7_0514200.1 0.32 0.23 0.52 1.98 7.45 14.59 31.83 18.69
PF3D7_0516600.1 0.79 0.25 0.44 3 25.94 49.53 68.73 23.15
PF3D7_0517100.1 0.29 0.4 0.26 1.84 14.59 23.64 20.72 4.38
PF3D7_0518800.1 0.26 0.27 0.44 1.35 2.61 2.63 1.25 1.64
PF3D7_0519900.1 0.2 0.22 0.47 1.7 13.98 26.29 47.58 19.83
PF3D7_0522500.1 0.67 0.27 0.15 0.21 10.85 41.31 87.04 56.81
PF3D7_0524200.1 0.54 0.26 0.08 0.49 1.03 1.42 2.85 3.84
PF3D7_0525700.1 8.05 1.42 0.37 0.62 5.78 25.3 40.52 40.23
PF3D7_0526100.1 0.14 0.06 0.09 0.46 9.66 21.82 22.75 8.1
PF3D7_0526900.1 4.21 9.43 15.26 48.64 126.54 188.58 238.96 98.25
PF3D7_0528900.1 0.52 0.39 0.21 1.08 2.17 2.2 2.34 1.08
PF3D7_0529000.1 3.29 2.08 3.11 9.23 33.12 41.09 52.94 26.44
PF3D7_0529100.1 0.22 0.17 0.35 2.72 20.07 38.01 47.4 17.42
PF3D7_0530300.1 1 0.24 0.1 0.25 2.41 7.79 22.41 22.71
PF3D7_0530500.1 0.05 0.06 0.07 0.25 0.91 1 1.66 0.4
PF3D7_0530800.1 0.4 0.32 0.37 1.84 8.22 16.06 26.08 10.58
PF3D7_0532500.1 0.07 0.04 0.54 10.12 97.09 85.47 59.1 12.49
PF3D7_0602300.1 0.01 0 0.03 0.02 0.34 1.8 3.03 0.97
PF3D7_0604400.1 0.24 0.13 0.42 1.22 8.13 15.66 21.7 6.65
PF3D7_0604900.1 0.4 0.4 0.35 0.92 24.6 108.29 84.79 21.91
PF3D7_0606800.1 0.69 0.28 0.21 0.41 1.89 28.25 84.27 67.85
PF3D7_0609100.1 3.4 3.28 6.27 20.63 65 77.4 68.48 34.43
PF3D7_0609500.1 0.06 0.04 0.08 0.29 0.35 0.38 0.83 0.76
