id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_1220600.1 0.3 0.41 0.77 3.02 10.74 27.6 43.77 20.33
PF3D7_1221700.1 0.12 0.09 0.28 2.3 12.65 19.85 22.24 7.21
PF3D7_1221800.1 1.02 0.46 0.4 1.73 15.96 48.17 86.38 47.13
PF3D7_1223300.1 0.85 0.33 0.54 2.49 19.02 33.67 46.72 18.13
PF3D7_1225100.1 0.07 0.04 0.14 1.87 13.39 19.96 24.97 5.96
PF3D7_1228700.1 0.47 0.18 0.1 0.24 2.95 13.01 34.46 26.79
PF3D7_1229600.1 1.25 0.54 0.32 1.01 25.17 88.31 161.78 60.92
PF3D7_1232000.1 0.19 0.12 0.2 1.92 14.35 22.96 32.94 15.91
PF3D7_1232100.1 1.96 0.59 0.65 10.12 117.74 233.63 251.56 80.53
PF3D7_1234600.1 0.24 0.08 0.08 0.12 1.87 23.51 57.04 26.58
PF3D7_1239500.1 0.12 0.07 0.05 0.32 5.22 11.86 24.78 14.23
PF3D7_1244000.1 1.19 0.21 0.13 0.65 10.22 32.96 39.3 14.81
PF3D7_1244400.1 1.85 4.39 2.51 6.84 35.44 69.16 101.32 32.29
PF3D7_1251700.1 0.17 0.11 0.29 2.05 12.53 20.2 20.56 5.08
PF3D7_1304100.1 0.84 0.16 0.04 0.36 4.98 15.49 22.75 11.68
PF3D7_1304600.1 0.09 0.05 0.1 1.28 16.93 28.65 32.28 7.25
PF3D7_1305100.1 0.35 0.15 0.17 0.4 7.3 28.66 60.49 37.56
PF3D7_1306200.1 0.28 0.09 0.06 0.11 5 35.38 101.04 44.7
PF3D7_1307600.1 2.89 0.55 0.45 2.12 12.69 28.66 57.69 33.32
PF3D7_1308800.1 0.78 0.39 0.29 1.01 18.05 72.38 155.37 90.62
PF3D7_1312000.1 0.09 0.06 0.05 0.12 0.48 1.72 5.58 2.73
PF3D7_1313200.1 0.04 0.05 0.15 0.79 6.19 10.74 14.91 5.21
PF3D7_1313400.1 0.73 0.2 0.22 2.21 17.8 34.8 39.18 17.63
PF3D7_1318100.1 0.44 0.34 0.14 1.6 25.04 65.75 120.94 62.57
PF3D7_1318200.1 0.05 0.02 0.01 0.04 0.04 1.73 2.2 1.05
PF3D7_1320100.1 1 0.41 0.27 0.88 9.29 42.28 75.68 43.9
PF3D7_1323000.1 0.34 0.38 0.29 1.04 3.15 6.96 8.46 5.15
PF3D7_1323600.1 0.2 0.12 0.09 1.63 19.45 40.68 54.23 18.66
PF3D7_1329700.1 3.17 0.83 0.37 0.45 1.3 1.89 3.01 5.25
PF3D7_1332600.1 1.18 0.36 0.22 1.4 20.31 67.27 104.04 56.02
PF3D7_1333000.1 0.35 0.59 2.16 12.05 77.55 125.28 110.63 29.8
PF3D7_1333200.1 0.44 0.36 0.97 4.25 26.56 47.95 71.64 28.79
PF3D7_1337200.1 0.09 0.23 0.61 2.43 17.98 30.51 30.18 9.27
PF3D7_1338600.1 3.64 0.77 0.32 0.69 19.58 67.63 106.16 48.51
PF3D7_1343500.1 0.22 0.1 0.21 0.55 8.88 28.74 45 24.02
PF3D7_1344600.1 0.81 0.46 0.48 1.1 3.24 16.66 36.06 22.08
PF3D7_1345500.1 0.14 0.05 0.11 1.29 7.45 15.13 28.43 16.74
PF3D7_1350700.1 0.11 0.06 0.13 1.17 17.09 36.66 35.18 9.16
PF3D7_1351800.1 9.06 3.85 5.22 14.72 33.18 38.18 31.54 6.82
PF3D7_1352000.1 0.28 0.17 0.33 2.28 16.32 27.25 44.58 17.59
PF3D7_1357200.1 0.11 0.07 0.1 0.32 7.75 19.72 31.83 12.94
PF3D7_1358000.1 0.23 0.14 0.11 0.2 1.71 12.38 35.08 18.26
PF3D7_1358300.1 0.72 0.54 0.61 1.36 6.56 17.18 38.13 22.08
