FOLD,EPOCH,TP,FP,FN,TN,ACCURACY,MCC,PPV,RECALL
3,70,28,7,6,68,0.880733944954,0.724535558344,0.8,0.823529411765
3,77,29,7,5,68,0.889908256881,0.748250214582,0.805555555556,0.852941176471
3,81,28,7,6,68,0.880733944954,0.724535558344,0.8,0.823529411765
3,83,30,7,4,68,0.899082568807,0.771952851749,0.810810810811,0.882352941176
3,88,28,6,6,69,0.889908256881,0.743529411765,0.823529411765,0.823529411765
3,93,29,7,5,68,0.889908256881,0.748250214582,0.805555555556,0.852941176471
3,98,29,7,5,68,0.889908256881,0.748250214582,0.805555555556,0.852941176471
4,0,18,5,17,69,0.798165137615,0.511175856428,0.782608695652,0.514285714286
4,1,24,6,11,68,0.844036697248,0.632073674622,0.8,0.685714285714
4,10,29,6,6,68,0.889908256881,0.74749034749,0.828571428571,0.828571428571
4,12,29,6,6,68,0.889908256881,0.74749034749,0.828571428571,0.828571428571
4,15,28,6,7,68,0.880733944954,0.724535558344,0.823529411765,0.8
4,16,29,6,6,68,0.889908256881,0.74749034749,0.828571428571,0.828571428571
4,23,29,5,6,69,0.899082568807,0.766949294036,0.852941176471,0.828571428571
4,28,28,4,7,70,0.899082568807,0.76478064495,0.875,0.8
4,33,29,4,6,70,0.908256880734,0.787077106847,0.878787878788,0.828571428571
4,46,30,4,5,70,0.917431192661,0.809363029729,0.882352941176,0.857142857143
4,47,29,3,6,71,0.917431192661,0.807928207216,0.90625,0.828571428571
4,48,31,3,4,71,0.935779816514,0.851776765421,0.911764705882,0.885714285714
4,49,30,3,5,71,0.926605504587,0.829844506969,0.909090909091,0.857142857143
4,58,31,2,4,72,0.94495412844,0.872611907092,0.939393939394,0.885714285714
4,61,30,2,5,72,0.935779816514,0.851075769483,0.9375,0.857142857143
4,65,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,68,31,2,4,72,0.94495412844,0.872611907092,0.939393939394,0.885714285714
4,70,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,72,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,76,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,83,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,88,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,97,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
4,98,32,2,3,72,0.954128440367,0.894190501114,0.941176470588,0.914285714286
5,0,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,10,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,12,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,16,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,23,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,26,27,9,5,68,0.871559633028,0.703821539443,0.75,0.84375
5,29,28,8,4,69,0.889908256881,0.74665601616,0.777777777778,0.875
5,34,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,39,26,7,6,70,0.880733944954,0.715233156006,0.787878787879,0.8125
5,42,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,45,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,46,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,50,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,53,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,54,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,55,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,57,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,58,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,59,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,60,26,8,6,69,0.871559633028,0.69655240716,0.764705882353,0.8125
5,61,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,64,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,65,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,67,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,71,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,72,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,77,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,80,26,7,6,70,0.880733944954,0.715233156006,0.787878787879,0.8125
5,81,26,7,6,70,0.880733944954,0.715233156006,0.787878787879,0.8125
5,82,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,84,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,89,27,8,5,69,0.880733944954,0.721633082683,0.771428571429,0.84375
5,92,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,95,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
5,96,28,7,4,70,0.899082568807,0.76478064495,0.8,0.875
5,98,27,7,5,70,0.889908256881,0.740037064881,0.794117647059,0.84375
